store_id,name,genre,subgenre
com.yolo.hiddenobjects,"Find Hidden Objects - Spot It!","Puzzle",TBD
com.ventogames.findthecat,"Find The Cat - Spot It!","Puzzle",TBD
com.playrix.fishdomdd.gplay,"Fishdom","Puzzle",TBD
com.cola.game,"Flambé: Merge & Cook","Puzzle",TBD
com.melon.drop.fruit.merge.master,"Fruit Merge™: Match Game","Puzzle",TBD
com.dalakgames.slitherrush,"Gecko Out","Puzzle",TBD
com.fc.goods.sort.matching.puzzle.triplemaster,"Goods Puzzle: Sort Challenge™","Puzzle",TBD
com.mergegames.gossipharbor,"Gossip Harbor®: Merge & Story","Puzzle",TBD
com.zynga.pottermatch,"Harry Potter: Puzzles & Spells","Puzzle",TBD
com.gamebrain.hexasort,"Hexa Sort","Puzzle",TBD
hidden.object.find.seek.search.mystery.puzzle.games.free,"Hidden Object Games: Seek It","Puzzle",TBD
com.and.games505.humanfallflat,"Human Fall Flat","Puzzle",TBD
com.PotiPoti.IsThisSeatTaken,"Is This Seat Taken?","Puzzle",TBD
com.oakever.jigsawcard,"Jigsawcard Solitaire Puzzle","Puzzle",Solitaire
jigsaw.puzzle.game.banana,"Jigsawscapes® - Jigsaw Puzzles","Puzzle",Jigsaw
com.gamincat.jigsolitaire,"Jigsolitaire","Puzzle",Solitaire
com.sbg.knitout,"Knit Out","Puzzle",TBD
com.grandgames.magicsort,"Magic Sort!","Puzzle",TBD
com.onecwireless.mahjong.full,"Mahjong (Full)","Puzzle",TBD
com.tilegames.mahjongtrip,"Mahjong Trip:Relax Tile Games","Puzzle",TBD
net.peakgames.match,"Match Factory!","Puzzle",TBD
com.goodjobgames.matchvillains,"Match Villains","Puzzle",TBD
com.matchington.mansion,"Matchington Mansion","Puzzle",TBD
com.gramgames.mergedragons,"Merge Dragons!","Puzzle",TBD
com.futureplay.mergematch,"Merge Gardens","Puzzle",TBD
com.everywear.game5,"Merge Mansion: Mystery & Story","Puzzle",TBD
com.starring.prisonbreak,"Merge Prison : hidden puzzle","Puzzle",TBD
com.play.merge.restyle,"Merge Restyle","Puzzle",TBD
com.ustwo.monumentvalley,"Monument Valley","Puzzle",TBD
